#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2015-05-01T23:40:56.540000Z,2.27,36.02,-117.78,3.11,12.12,36.03,-117.77,10.0,2.32,36.04,-117.78,5.0,2.44
2015-02-24T18:02:39.540000Z,2.47,34.15,-117.58,11.56,15.86,34.17,-117.58,16.43,2.64,34.17,-117.58,16.43,2.62
2014-12-08T01:52:44.130000Z,1.59,33.91,-116.3,8.61,23.38,33.93,-116.31,56.03,2.05,33.93,-116.31,56.03,2.03
2015-05-21T03:51:02.000000Z,3.28,33.16,-115.66,3.53,10.7,33.17,-115.63,7.65,3.48,33.16,-115.66,7.69,3.31
2015-05-07T03:04:56.920000Z,1.84,36.03,-117.78,3.15,20.67,36.05,-117.78,5.0,2.19,36.05,-117.78,5.0,2.23
2015-05-29T01:36:01.860000Z,2.3,36.01,-117.72,2.63,10.57,36.02,-117.71,5.0,2.76,36.02,-117.74,5.0,2.43
2015-05-14T20:54:26.170000Z,1.82,32.95,-116.32,11.02,10.5,32.97,-116.31,15.1,1.92,32.96,-116.31,9.55,2.02
2015-05-08T13:44:16.210000Z,2.06,34.01,-116.44,3.07,25.38,34.01,-116.44,5.0,2.16,34.01,-116.44,5.0,2.14
2015-04-13T06:50:23.660000Z,2.68,34.14,-116.84,10.99,10.76,34.13,-116.85,10.87,3.12,34.13,-116.85,5.0,2.82
2014-12-25T04:17:08.830000Z,2.28,35.96,-118.68,17.01,19.81,35.96,-118.67,10.0,2.55,35.96,-118.67,10.0,2.65
2015-05-30T17:29:08.450000Z,1.56,36.01,-117.72,1.62,8.37,36.02,-117.71,5.0,2.28,36.03,-117.73,5.0,1.84
2014-12-06T09:26:06.080000Z,1.46,33.36,-116.37,14.38,18.88,33.36,-116.34,10.0,2.06,33.36,-116.36,10.0,1.85
2015-05-26T20:17:00.100000Z,1.68,34.21,-116.19,3.57,15.77,34.21,-116.19,5.0,2.1,34.21,-116.19,5.0,2.11
2015-01-14T07:56:52.930000Z,2.0,33.59,-116.82,9.79,13.3,33.6,-116.81,13.96,2.14,33.6,-116.81,13.96,2.35
2015-05-21T03:18:07.600000Z,2.89,33.16,-115.64,5.5,28.62,33.17,-115.63,9.39,3.02,33.17,-115.64,7.3,3.02
2014-12-13T13:10:29.970000Z,2.05,32.63,-115.72,9.58,23.72,32.62,-115.67,10.0,2.16,32.61,-115.61,10.0,2.32
2015-03-14T11:52:19.750000Z,3.2,34.58,-116.27,2.03,14.96,34.58,-116.26,10.0,2.98,34.57,-116.28,5.0,3.16
2014-12-30T00:12:02.710000Z,3.47,35.94,-117.22,7.36,15.83,35.93,-117.28,5.0,3.33,35.96,-117.25,10.0,3.37
2015-04-29T00:39:10.010000Z,2.35,35.24,-119.48,20.8,13.09,35.25,-119.5,23.49,2.79,35.26,-119.47,5.67,2.61
2015-03-03T21:58:04.390000Z,1.65,35.12,-118.8,2.1,12.23,35.09,-118.89,5.0,2.37,35.12,-118.81,5.0,2.17
2015-01-07T22:46:12.750000Z,2.64,34.89,-119.37,13.25,12.8,34.85,-119.38,9.15,3.2,34.89,-119.36,6.45,2.66
2015-03-25T02:40:40.290000Z,2.61,36.03,-117.61,1.8,14.42,36.04,-117.6,5.15,2.6,36.04,-117.64,5.0,2.49
2015-05-27T03:15:38.880000Z,2.59,36.02,-117.37,6.41,13.49,36.01,-117.37,10.0,2.78,36.03,-117.37,5.0,2.63
2015-04-20T21:15:32.810000Z,2.12,35.25,-119.48,13.08,12.15,35.25,-119.51,20.28,2.51,35.24,-119.49,17.66,2.39
2015-04-20T19:25:59.550000Z,2.57,33.46,-116.61,12.36,18.98,33.44,-116.62,8.7,2.58,33.46,-116.61,9.76,2.72
2015-05-21T10:47:45.740000Z,2.1,33.17,-115.64,4.74,13.97,33.17,-115.62,5.0,2.56,33.17,-115.62,5.0,2.55
2015-02-05T04:32:03.680000Z,2.6,35.49,-118.3,2.53,14.18,35.49,-118.3,5.0,2.84,35.5,-118.29,5.0,2.69
2015-02-14T03:34:02.820000Z,2.99,37.16,-117.26,17.72,29.63,37.11,-117.3,5.0,2.62,37.09,-117.33,10.0,2.61
2015-05-28T12:13:41.710000Z,3.45,32.23,-115.29,10.37,20.84,32.24,-115.3,5.0,3.71,32.24,-115.26,13.19,3.37
2015-04-20T00:25:30.710000Z,2.34,37.04,-118.38,12.45,28.59,37.27,-118.34,20.94,2.78,37.24,-118.41,10.0,2.67
2015-01-27T08:16:39.120000Z,3.45,34.75,-118.45,9.5,11.84,34.73,-118.45,16.58,3.65,34.75,-118.45,5.0,3.61
2015-02-28T03:04:13.670000Z,3.16,31.71,-115.87,5.4,42.81,31.71,-115.9,10.0,3.03,31.73,-115.85,10.0,3.13
2015-04-29T10:57:51.900000Z,2.18,36.04,-117.61,2.34,11.85,36.09,-117.55,5.0,2.44,36.04,-117.63,5.0,2.26
2015-03-30T14:08:41.800000Z,2.37,36.02,-117.81,1.47,10.7,35.94,-117.82,28.18,1.86,36.0,-117.76,5.0,2.42
2015-05-16T02:46:34.190000Z,3.34,37.47,-118.79,6.4,32.88,37.53,-118.75,10.0,3.02,37.6,-118.68,10.0,3.21
2015-01-12T10:12:47.540000Z,1.75,32.13,-116.4,22.15,24.33,31.87,-116.42,29.82,2.13,31.87,-116.42,29.82,2.32
2014-12-07T13:08:39.010000Z,2.76,36.0,-117.91,4.34,14.86,36.0,-117.9,7.78,2.5,36.01,-117.89,10.0,2.77
2015-02-09T08:15:54.280000Z,3.28,37.27,-118.41,6.6,30.44,37.29,-118.44,10.0,3.35,37.35,-118.36,10.0,3.07
2015-05-29T04:02:11.990000Z,2.24,32.5,-115.6,4.93,22.47,32.5,-115.6,8.83,2.81,32.5,-115.6,8.83,2.75
2015-04-27T09:40:29.510000Z,2.29,35.27,-118.57,10.07,13.04,35.26,-118.56,5.0,2.29,35.27,-118.57,5.85,2.37
2015-05-23T07:30:11.520000Z,1.79,34.03,-117.24,18.18,12.86,34.03,-117.23,18.27,1.73,34.03,-117.24,10.69,2.01
2015-02-01T11:55:27.690000Z,2.15,32.97,-116.43,8.97,13.78,32.98,-116.41,7.41,2.24,32.98,-116.41,7.41,2.36
2015-04-18T20:15:39.010000Z,2.41,32.62,-115.75,8.42,23.22,32.6,-115.74,7.17,2.46,32.6,-115.74,7.17,2.62
2015-02-15T07:51:31.230000Z,2.19,36.44,-117.83,11.86,16.5,36.43,-117.82,6.17,2.45,36.44,-117.83,5.0,2.31
2014-12-24T05:51:51.440000Z,4.19,33.19,-115.61,1.33,21.31,33.18,-115.62,5.0,4.25,33.18,-115.61,8.94,4.02
2015-05-21T03:34:51.670000Z,2.37,33.17,-115.64,5.95,15.81,33.18,-115.62,5.0,2.97,33.18,-115.62,5.0,3.0
2015-04-16T13:05:40.320000Z,2.46,34.41,-120.19,0.02,11.31,34.41,-120.17,5.0,2.99,34.41,-120.18,5.0,2.84
2015-02-14T02:28:56.228000Z,4.8,37.14,-117.26,17.0,24.44,37.11,-117.3,10.0,4.52,37.07,-117.36,10.0,4.66
2014-12-11T05:33:33.610000Z,1.43,34.28,-117.02,8.58,13.24,34.29,-118.03,10.0,3.29,34.28,-117.03,5.87,1.81
2015-02-16T20:56:19.160000Z,2.01,34.98,-116.8,1.31,16.71,34.98,-116.78,10.0,1.95,34.98,-116.78,10.0,2.03
2015-02-16T10:20:38.230000Z,1.89,35.94,-117.22,4.47,28.94,35.96,-117.24,5.0,2.04,35.96,-117.23,5.0,2.0
2015-03-30T11:29:58.260000Z,2.84,35.68,-118.26,11.43,23.14,35.67,-118.24,10.0,2.87,35.7,-118.23,5.0,2.9
2015-05-29T08:47:16.950000Z,2.87,33.17,-116.12,12.26,20.35,33.16,-116.12,8.63,3.05,33.16,-116.11,9.05,3.1
2015-03-12T09:58:50.020000Z,1.89,33.93,-116.03,4.05,10.61,33.93,-116.03,9.1,1.98,33.93,-116.03,9.1,2.1
2014-12-05T19:58:13.080000Z,2.9,33.87,-117.74,4.31,24.19,33.88,-117.74,5.0,3.05,33.87,-117.74,5.0,3.06
2015-02-07T19:45:49.270000Z,2.69,36.04,-117.59,1.63,14.44,36.03,-117.58,5.0,2.82,36.04,-117.58,5.0,2.68
2015-02-04T11:50:53.470000Z,3.4,32.4,-115.26,7.27,19.37,32.34,-115.22,16.43,3.29,32.4,-115.26,10.0,3.36
2014-12-05T22:19:09.550000Z,1.64,33.05,-116.42,9.05,28.41,33.06,-116.42,8.02,2.18,33.06,-116.42,8.02,2.18
2014-12-04T16:53:21.190000Z,3.56,33.96,-116.63,15.51,22.06,33.97,-116.63,10.44,3.77,33.97,-116.63,10.44,3.85
2015-05-06T09:19:31.570000Z,2.66,33.81,-116.98,15.52,20.34,33.81,-116.98,12.55,2.93,33.81,-116.98,9.91,2.95
