DK KULLO HHZ  -- 74.580500 -57.220150
DK NUUG HHZ  -- 71.538380 -53.199580
CH BALST HHZ  -- 47.335780 7.694980
CH FUSIO HGZ  -- 46.454900 8.663160
CH FUSIO HHZ  -- 46.454900 8.663160
CH GIMEL HHZ  -- 46.533640 6.265450
CH HASLI HHZ  -- 46.756810 8.151170
CH SLE HHZ  -- 47.764500 8.492360
CH SULZ HHZ  -- 47.527480 8.111530
CH SULZ HGZ  -- 47.527480 8.111530
CH TORNY HHZ  -- 46.773650 6.958620
CH VANNI HHZ  -- 46.210060 7.596780
CH VDL HHZ  -- 46.483180 9.449560
CH VDL HGZ  -- 46.483180 9.449560
CH WILA HHZ  -- 47.414650 8.907530
CH WIMIS HHZ  -- 46.664880 7.624180
CH ZUR HHZ  -- 47.369210 8.580880
CH ZUR HGZ  -- 47.369210 8.580880
CH LAUCH HHZ  -- 46.415540 7.771660
CH PANIX HHZ  -- 46.825743 9.111708
CH GRIMS HHZ  -- 46.578146 8.318864
CH GRIMS HGZ  -- 46.578146 8.318864
XA BHE01 HHZ  -- 26.802470 91.500780
XA BHE02 HHZ  -- 26.860410 91.480930
XA BHE03 HHZ  -- 26.928920 91.542470
XA BHE04 HHZ  -- 27.001570 91.525830
XA BHE05 HHZ  -- 27.060310 91.518280
XA BHE06 HHZ  -- 27.121260 91.549690
XA BHE07 HHZ  -- 27.208050 91.598340
XA BHE08 HHZ  -- 27.278570 91.509990
XA BHE09 HHZ  -- 27.365490 91.574940
XA BHE10 HHZ  -- 27.421900 91.559890
XA BHE11 HHZ  -- 27.498280 91.533800
XA BHE12 HHZ  -- 27.568470 91.494460
XA BHE13 HHZ  -- 27.628110 91.480570
XA BHE14 HHZ  -- 27.683510 91.433230
XA BHN01 HHZ  -- 27.217770 90.656130
XA BHN02 HHZ  -- 27.004260 90.554170
XA BHN03 HHZ  -- 27.005690 90.116640
XA BHN04 HHZ  -- 27.130790 90.072320
XA BHN05 HHZ  -- 27.549290 90.140160
XA BHN06 HHZ  -- 27.674510 90.733010
XA BHN08 HHZ  -- 27.194000 91.200140
XA BHW01 HHZ  -- 26.861250 89.567710
XA BHW02 HHZ  -- 26.923660 89.521060
XA BHW03 HHZ  -- 26.953430 89.554430
XA BHW04 HHZ  -- 27.036830 89.579500
XA BHW06 HHZ  -- 27.171070 89.552710
XA BHW07 HHZ  -- 27.255490 89.537370
XA BHW08 HHZ  -- 27.317270 89.574950
XA BHW10 HHZ  -- 27.435910 89.673770
XA BHW11 HHZ  -- 27.491840 89.639830
XA BHW12 HHZ  -- 27.593500 89.629980
XA BHW13 HHZ  -- 27.630680 89.791700
XA BHW14 HHZ  -- 27.714140 89.762810
XA BHW15 HHZ  -- 27.810040 89.730060
XA BHW16 HHZ  -- 27.896340 89.728080
RA OGSI HNZ  00 46.056700 6.756110
FR OG35 HHZ  00 46.040000 5.570000
FR RSL HHZ  00 45.687300 6.624100
FR CHMF HHZ  00 47.248400 6.651700
FR OG02 HNZ  00 46.154100 6.220200
RA STBO HNZ  00 47.860900 7.262160
CH BERGE HHZ  -- 47.871610 8.177980
GR BFO HHZ  -- 48.331170 8.330330
RA STFL HNZ  00 47.112100 6.562890
